study_id,title,authors,year,venue,doi_or_url,publication_type,peer_reviewed,formal_corpus_role,transportation_scope,task_stage,learned_component,road_context,agent_types,input_modalities,output_object,risk_sources,shift_construction,shift_realism,shift_detectable,safety_consequence,signal_risk_relation_level,monitoring_horizon,risk_label_source,method_category,uncertainty_output,uncertainty_type,uncertainty_provenance,risk_definition,loss_function,calibration_target,decision_relevance_primary,decision_mechanisms,operational_threshold,feedback_availability,guarantee_target,statistical_guarantee_type,statistical_guarantee_strength,formal_control_guarantee,guarantee_scope,guarantee_violation_tested,under_shift_validity,claim_status,intervention_primary,intervention_secondary,trigger_rule,fallback_policy,intervention_cost,online_latency,transportation_impact,datasets_simulator,predictive_metrics,calibration_metrics,safety_metrics,utility_metrics,boundary_decision
HAND-S13,Ranging from Prediction to Planning via Machine Learning Approaches for Autonomous Driving: A Survey,Ding Li; Qichao Zhang; Dongbin Zhao,2026,Artificial Intelligence Review,10.1007/s10462-026-11604-8,journal,yes,contextual,road-autonomous-driving,risk-monitoring,uncertainty-estimator,NR:road context not specified,vehicle,image,NR:output object not explicit,model_misspecification,online temporal change,NR:shift realism not stated,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"Signal/method: a prior review mapping marginal, conditional, and interactive prediction into planning, including uncertainty, risk tolerance, distribution shift, and closed-loop evaluation. Boundary: it directly maps the prediction-planning interface but does not systematically code calibration guarantees, risk thresholds, runtime minimal intervention, or online recalibration.",reported,NA:no explicit calibration target,none,discrete-trigger,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,nuScenes; Waymo; Argoverse; CARLA; SUMO; INTERACTION; NGSIM; HighD; Lyft; Shifts,ADE; FDE; accuracy/AUROC,NA:no calibration metrics,collision,efficiency/travel-time; comfort,contextual
HAND-T11,In-Distribution Barrier Functions: Self-Supervised Policy Filters that Avoid Out-of-Distribution States,Fernando Castaneda; Haruki Nishimura; Rowan McAllister; Koushil Sreenath; Adrien Gaidon,2023,L4DC 2023,NR:DOI or canonical URL not available,conference,yes,contextual,single vehicle; general visual navigation,policy; control filter,behavior-cloned policy; learned encoder/dynamics/iDBF,driving corridor; navigation,vehicle; robot; obstacle,image; latent state; demonstrations,filtered action,environmental_shift; epistemic_uncertainty; model_misspecification,self-supervised forward samples contrasting demonstration support,synthetic; learned-support,no,collision; leaving safe demonstration distribution,learned-correlation,one-step latent forward filtering; no advance-time report,behavior-cloning action likelihood/demo support,selective_prediction; failure_prediction,learned barrier/support score,epistemic/unspecified,model-output-score,departure from demonstrated safe-state distribution,reported,none,constraint-or-cost,learned-support QP filter,QP/filter strength derived from learned iDBF; no risk probability,state observation each step; no label-based recalibration,demonstration-distribution support,none,G0,none,one-step action filter,yes:collision/intervention tests,no,not-applicable,policy_filter,none,QP rejects actions predicted to leave learned support,behavior-cloned nominal policy,intervention/safety trade-off reported qualitatively,NR,ego collision/task success only,visual navigation and driving-corridor simulations,task performance,none,collision rate,intervention/task completion,contextual
HAND-T13,Adaptive Conformal Prediction for Motion Planning among Dynamic Agents,Anushri Dixit; Lars Lindemann; Skylar X. Wei; Matthew Cleaveland; George J. Pappas; Joel W. Burdick,2023,L4DC 2023,NR:DOI or canonical URL not available,conference,yes,contextual,general robot-dynamic agent,motion forecasting; planning,one-step predictor; adaptive CP; MPC,unstructured dynamic environment,robot; flying obstacle,state; trajectory,online prediction set radius; control,temporal_drift; interaction_uncertainty,online sequential errors; flying-disc simulation,synthetic,no,collision/unsafe planning; MPC infeasibility,formal-quantitative,one-step updates embedded across planning horizon,realized next-state prediction error,online_or_adaptive_conformal; conformal_prediction,prediction set/radius,total/unspecified,set-based,miscoverage of dynamic-agent prediction set and induced safety,NR:risk or safety loss not explicitly reported,long-run average coverage/safety,constraint-or-cost,adaptive CP radius in MPC,target miscoverage delta; adaptive recursion,next observation supplies delayed one-step error online,long-run prediction-set coverage and safety,sequential_or_time_uniform,G4,recursive-feasibility,time-average one-step coverage and safety,yes:coverage/success plus infeasibility exposed,long-run adaptation; not arbitrary shift guarantee,conditional,mpc_filter,replanning,adaptive CP radius enters obstacle margin,none if MPC infeasible,larger sets cause conservatism/infeasibility; rates reported,NR,robot success only,flying-disc dynamic-agent simulation; 1000 Monte Carlo trials,prediction error,coverage/miscoverage,collision/success; feasibility,path cost/conservatism,contextual
HAND-T14,"Heterogeneous Predictor-based Risk-Aware Planning with Conformal Prediction in Dense, Uncertain Environments",Jeongyong Yang; KwangBin Lee; SooJean Han,2026,NeuS 2026,NR:DOI or canonical URL not available,conference,yes,contextual,general robot-dynamic multiagent,motion forecasting; planning; compute routing,heavy/light predictors; CP risk estimator; MPC,dense unstructured environment,robot; dynamic obstacles,state; trajectories,CP radii; collision probability; predictor route; control,interaction_uncertainty; model_misspecification; compute_budget,random dense dynamic-obstacle episodes,synthetic,no,collision; unprotected residual risk; deadline miss,formal-quantitative,multi-step horizon H; exact seconds NR,trajectory errors and collision geometry,conformal_prediction; probabilistic_model,prediction radius; Gaussian collision probability,aleatoric/total,hybrid:set-based+learned-parametric,CP-matched probability of collision plus residual risk for unrouted obstacles,NR:risk or safety loss not explicitly reported,trajectory coverage and collision constraint,constraint-or-cost,predictor routing; chance-constrained MPC,risk/compute routing thresholds and delta budget,offline calibration; runtime outcomes not used to recalibrate,routed-obstacle joint coverage/collision risk,joint_multiagent,G3,chance-constrained-control,horizon and routed obstacle set,partial:residual risk/compute budgets tested,no claim for interactive/shifted traffic,conditional,mpc_filter,predictor_routing,P-CRI risk and compute budget choose heavy/light predictor; CP radius constrains MPC,residual-risk accounting when obstacles omitted,safety-path length-compute trade-off,budget 30-60 ms,path length/success; no traffic system,dense dynamic-obstacle numerical environment,prediction accuracy NR in coding focus,CP coverage,collision/success/residual risk,path steps; compute budget,contextual
REC-014E89FBE24D,Autonomous vehicles in mixed-autonomy traffic: game theoretic human-like decision making countermeasures,"Chen, Qitong; Zhao, Dong; Liu, Congzhi; Yang, Meng; Shi, Yehui",2024,Complex Engineering Systems,10.20517/ces.2024.69,Review,yes,contextual,vehicle-vehicle; traffic-system; road-autonomous-driving,control-interface; policy-learning,policy,intersection,vehicle,V2X,NR:output object not explicit,model_misspecification,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,collision,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,Prior review mapping game-theoretic uncertainty and interaction signals to autonomous-driving decision/control methods; it provides direct interface context but no original runtime system or safety evaluation.,reported,NA:no explicit calibration target,none,none,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,INTERACTION; NGSIM,accuracy/AUROC,NA:no calibration metrics,constraint-violation,completion/success; efficiency/travel-time; comfort,contextual
REC-016C15AEE33F,"Distribution shift, generalization and OOD challenge in offline reinforcement learning: a comprehensive survey: Distribution shift, generalization and OOD challenge in offline RL...","Riahi Samani, Ali; Zhao, Xujiang; Chen, Feng",2026,Neural Computing and Applications,10.1007/s00521-026-11966-8,Review,yes,contextual,road-autonomous-driving,planning; policy-learning,policy,NR:road context not specified,vehicle; robot; heterogeneous,image,NR:output object not explicit,weather_or_visibility,online temporal change,natural,yes,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,reward-or-cost,deep_ensemble,variance,unspecified,ensemble-derived,"This is a comprehensive survey reviewing how uncertainty quantification signals (ensemble variance, MC-dropout uncertainty, Bellman uncertainty, model prediction variance, etc.) are used in offline RL to penalize out-of-distribution (OOD) actions and guide conservative value function/policy updates. Methods reviewed include MOPO, MOReL, PBRL, UWAC, EDAC, CODAC, and many others.",reported,NA:no explicit calibration target,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,MuJoCo; INTERACTION; Shifts,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,completion/success; efficiency/travel-time; reward/return,contextual
REC-019334CD9E57,INTERPRETABLE DEEP REINFORCEMENT LEARNING FOR AUTONOMOUS SYSTEMS: INTEGRATING CAUSAL INFERENCE WITH POLICY GRADIENTS,"Mahdi, Abdullah Farhan; Abed, Baraa Mohammed",2025,International Journal of Applied Mathematics,10.12732/ijam.v38i4s.239,Article,yes,contextual,vehicle-pedestrian; mobile-robot-or-general-robotics; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy,urban,vehicle; pedestrian; robot; vessel; heterogeneous,NR:input modality not reported in extracted evidence,action,weather_or_visibility; long_tail_scenario,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,collision; reward-or-cost,formal_or_reachability_bound,variance,unspecified,model-output-score,The signal is a causal effect quantifier (Φ_SCM) computed via do-calculus interventions that measures whether an action causally affects outcomes.,NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,monitoring-only,discrete-trigger,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,emergency_braking,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,reported at PDF p. 6: latency >300ms,NR:transportation-system impact not reported,Waymo; CARLA; Safety Gym,NR:predictive metrics not extracted,NA:no calibration metrics,collision; intervention/failure,completion/success; efficiency/travel-time; reward/return,contextual
REC-02FAE5132592,Multiple vehicle cooperation and collision avoidance in automated vehicles: survey and an AI-enabled conceptual framework,"Muzahid, Abu Jafar Md; Kamarulzaman, Syafiq Fauzi; Rahman, Md Arafatur; Murad, Saydul Akbar; Kamal, Md Abdus Samad; Alenezi, Ali H",2023,SCIENTIFIC REPORTS,10.1038/s41598-022-27026-9,Article,yes,contextual,traffic-system; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy,highway; urban; intersection,vehicle,V2X,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,collision,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal: The paper surveys collision risk prediction, threat assessment, and uncertainty assessment methods (e.g., Time-to-X metrics, collision risk prediction, uncertainty assessment) as literature review topics. It then proposes an AI-enabled conceptual framework for multiple vehicle cooperation and collision avoidance (MVCCA) with a threat assessment phase containing three risk levels, but this framework is purely conceptual—no system is implemented or empirically validated.",reported,collision,none,none,reported,NR:feedback timing not reported,collision-risk,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,efficiency/travel-time; comfort; reward/return,contextual
REC-059366A50CDB,A Survey on Cyber-Physical Security of Autonomous Vehicles Using a Context Awareness Method,"Zaboli, Aydin; Hong, Junho; Kwon, Jaerock; Moore, John",2023,IEEE ACCESS,10.1109/access.2023.3338156,Article,yes,contextual,vehicle-pedestrian; traffic-system; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,urban,vehicle; pedestrian; heterogeneous,image; radar; V2X,action,weather_or_visibility; malicious_or_untrusted_information,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,reward-or-cost,generative_or_diffusion,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The paper is a survey/review that discusses active inference (ActInf) models based on POMDPs for autonomous driving, covering traffic sign recognition (TSR), object classification (OC), context awareness (CAW), and cyber-physical security. It reviews how ActInf uses variational free energy (VFE) and expected free energy (EFE) to guide action selection under uncertainty (e.g.,). A mathematical ActInf-based POMDP model for collision avoidance is described in Section III-C with states, ac",reported,NA:no explicit calibration target,none,cost-or-objective,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; reward/return,contextual
REC-07B15F68212B,The Road to Safe Automated Driving Systems: A Review of Methods Providing Safety Evidence,"Gyllenhammar, Magnus; Rodrigues de Campos, Gabriel; Torngren, Martin",2025,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2025.3532684,Review,yes,contextual,road-autonomous-driving,planning,NA:no learned component clearly identified,NR:road context not specified,vehicle,image,NR:output object not explicit,model_misspecification,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,infeasible-planning,qualitative-narrative,NR:actionable monitoring horizon not reported,planning-infeasibility,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"This paper is a literature review/survey that maps the landscape of methods providing safety evidence for Automated Driving Systems (ADSs). It reviews four categories of methods: design techniques, verification & validation, run-time risk assessment, and run-time (self-)adaptation. While Section VI (Run-time Risk Assessment) discusses threat-assessment metrics and Dynamic Risk Assessment (DRA) methods that connect situation awareness to quantitative risk measurement for run-time decision-making [PDF_",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,none,none,NA:no runtime intervention,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time,contextual
