document_type,count,share_pct
article,3337,48.313
Article,1298,18.793
Conference paper,887,12.842
preprint,393,5.69
IEEE Conferences,339,4.908
Review,232,3.359
IEEE Journals,154,2.23
Journal Article,82,1.187
Conference Paper,73,1.057
Conference review,36,0.521
review,33,0.478
IEEE Early Access Articles,18,0.261
Article; Early Access,5,0.072
conference,4,0.058
Short survey,3,0.043
TUP Journals,3,0.043
Youke Publishing Journals,2,0.029
journal,2,0.029
Article; Proceedings Paper,1,0.014
Youke Publishing Early Access Articles,1,0.014
VDE Conferences,1,0.014
Thesis,1,0.014
Review; Early Access,1,0.014
FRPS Journals,1,0.014
