group,key,label,count,denominator,share_pct
all,T1_motion_prediction,Motion prediction,987,6907,14.29
all,T2_planning_decision,Planning & decision,2957,6907,42.812
all,T3_uncertainty_probabilistic,Uncertainty & probabilistic modeling,2025,6907,29.318
all,T4_calibration_statistical,Calibration & statistical guarantees,88,6907,1.274
all,T5_shift_ood_failure,"Shift, OOD & failure detection",391,6907,5.661
all,T6_risk_aware_propagation,Risk-aware decision & propagation,832,6907,12.046
all,T7_runtime_monitor_intervention,Runtime monitoring & intervention,479,6907,6.935
all,T8_formal_safety_control,Formal safety & control,291,6907,4.213
all,T9_scenario_testing_validation,Scenario testing & validation,281,6907,4.068
all,T10_cooperative_multiagent,Cooperative & multi-agent systems,1012,6907,14.652
