period,rank,phrase,document_frequency,period_documents_with_abstract,share_pct
2018-2021,1,decision making,273,1886,14.475
2018-2021,2,real time,243,1886,12.884
2018-2021,3,reinforcement learning,241,1886,12.778
2018-2021,4,real world,210,1886,11.135
2018-2021,5,neural network,172,1886,9.12
2018-2021,6,motion planning,157,1886,8.324
2018-2021,7,automated vehicles,156,1886,8.271
2018-2021,8,collision avoidance,151,1886,8.006
2018-2021,9,deep learning,141,1886,7.476
2018-2021,10,path planning,141,1886,7.476
2018-2021,11,machine learning,136,1886,7.211
2018-2021,12,neural networks,130,1886,6.893
2018-2021,13,trajectory prediction,126,1886,6.681
2018-2021,14,predictive control,116,1886,6.151
2018-2021,15,deep reinforcement,94,1886,4.984
2018-2021,16,deep reinforcement learning,94,1886,4.984
2018-2021,17,short term,90,1886,4.772
2018-2021,18,surrounding vehicles,88,1886,4.666
2018-2021,19,safety critical,87,1886,4.613
2018-2021,20,lane change,85,1886,4.507
2018-2021,21,planning autonomous,84,1886,4.454
2018-2021,22,artificial intelligence,83,1886,4.401
2018-2021,23,end end,81,1886,4.295
2018-2021,24,trajectory planning,79,1886,4.189
2018-2021,25,vehicles avs,76,1886,4.03
2018-2021,26,driving behavior,75,1886,3.977
2018-2021,27,human drivers,73,1886,3.871
2018-2021,28,traffic flow,72,1886,3.818
2018-2021,29,long short,69,1886,3.659
2018-2021,30,term memory,69,1886,3.659
2022-2023,1,decision making,328,1602,20.474
2022-2023,2,reinforcement learning,251,1602,15.668
2022-2023,3,real world,209,1602,13.046
2022-2023,4,real time,196,1602,12.235
2022-2023,5,trajectory prediction,165,1602,10.3
2022-2023,6,neural network,159,1602,9.925
2022-2023,7,automated vehicles,153,1602,9.551
2022-2023,8,motion planning,145,1602,9.051
2022-2023,9,deep learning,139,1602,8.677
2022-2023,10,path planning,117,1602,7.303
2022-2023,11,collision avoidance,117,1602,7.303
2022-2023,12,machine learning,110,1602,6.866
2022-2023,13,predictive control,110,1602,6.866
2022-2023,14,vehicles avs,108,1602,6.742
2022-2023,15,deep reinforcement,105,1602,6.554
2022-2023,16,deep reinforcement learning,104,1602,6.492
2022-2023,17,neural networks,104,1602,6.492
2022-2023,18,artificial intelligence,96,1602,5.993
2022-2023,19,driving safety,91,1602,5.68
2022-2023,20,trajectory planning,87,1602,5.431
2022-2023,21,safety critical,84,1602,5.243
2022-2023,22,autonomous vehicles avs,81,1602,5.056
2022-2023,23,driving scenarios,80,1602,4.994
2022-2023,24,surrounding vehicles,76,1602,4.744
2022-2023,25,traffic flow,74,1602,4.619
2022-2023,26,recent years,74,1602,4.619
2022-2023,27,planning autonomous,73,1602,4.557
2022-2023,28,ego vehicle,73,1602,4.557
2022-2023,29,lane change,68,1602,4.245
2022-2023,30,short term,68,1602,4.245
2024-2026_partial,1,decision making,923,3407,27.091
2024-2026_partial,2,real time,742,3407,21.779
2024-2026_partial,3,real world,657,3407,19.284
2024-2026_partial,4,reinforcement learning,632,3407,18.55
2024-2026_partial,5,trajectory prediction,392,3407,11.506
2024-2026_partial,6,path planning,310,3407,9.099
2024-2026_partial,7,deep learning,310,3407,9.099
2024-2026_partial,8,vehicles avs,308,3407,9.04
2024-2026_partial,9,collision avoidance,280,3407,8.218
2024-2026_partial,10,autonomous vehicles avs,266,3407,7.807
2024-2026_partial,11,safety critical,265,3407,7.778
2024-2026_partial,12,deep reinforcement,242,3407,7.103
2024-2026_partial,13,deep reinforcement learning,241,3407,7.074
2024-2026_partial,14,predictive control,240,3407,7.044
2024-2026_partial,15,safety efficiency,238,3407,6.986
2024-2026_partial,16,machine learning,234,3407,6.868
2024-2026_partial,17,motion planning,234,3407,6.868
2024-2026_partial,18,neural network,232,3407,6.81
2024-2026_partial,19,trajectory planning,219,3407,6.428
2024-2026_partial,20,artificial intelligence,210,3407,6.164
2024-2026_partial,21,driving scenarios,209,3407,6.134
2024-2026_partial,22,traffic scenarios,209,3407,6.134
2024-2026_partial,23,automated vehicles,194,3407,5.694
2024-2026_partial,24,neural networks,185,3407,5.43
2024-2026_partial,25,obstacle avoidance,181,3407,5.313
2024-2026_partial,26,multi agent,177,3407,5.195
2024-2026_partial,27,planning autonomous,175,3407,5.136
2024-2026_partial,28,end end,170,3407,4.99
2024-2026_partial,29,mixed traffic,170,3407,4.99
2024-2026_partial,30,intelligent transportation,166,3407,4.872
