bib_key,entry_type,title,authors,year,venue,doi,url
Seff2023MotionLM,inproceedings,MotionLM: Multi-Agent Motion Forecasting as Language Modeling,Ari Seff and Brian Cera and Dian Chen and Mason Ng and Aurick Zhou and Nigamaa Nayakanti and Khaled S. Refaat and Rami Al-Rfou and Benjamin Sapp,2023,Proceedings of the IEEE/CVF International Conference on Computer Vision,,https://openaccess.thecvf.com/content/ICCV2023/html/Seff_MotionLM_Multi-Agent_Motion_Forecasting_as_Language_Modeling_ICCV_2023_paper.html
Hu2023UniAD,inproceedings,Planning-Oriented Autonomous Driving,Yihan Hu and Jiazhi Yang and Li Chen and Keyu Li and Chonghao Sima and Xizhou Zhu and Siqi Chai and Senyao Du and Tianwei Lin and Wenhai Wang and Lewei Lu and Xiaosong Jia and Qiang Liu and Jifeng Dai and Yu Qiao and Hongyang Li,2023,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,https://openaccess.thecvf.com/content/CVPR2023/html/Hu_Planning-Oriented_Autonomous_Driving_CVPR_2023_paper.html
Huang2023GameFormer,inproceedings,GameFormer: Game-Theoretic Modeling and Learning of Transformer-Based Interactive Prediction and Planning for Autonomous Driving,Zhiyu Huang and Haochen Liu and Chen Lv,2023,Proceedings of the IEEE/CVF International Conference on Computer Vision,,https://openaccess.thecvf.com/content/ICCV2023/html/Huang_GameFormer_Game-theoretic_Modeling_and_Learning_of_Transformer-based_Interactive_Prediction_and_ICCV_2023_paper.html
Lu2026ActiveAD,inproceedings,ActiveAD: Planning-Oriented Active Learning for End-to-End Autonomous Driving,Han Lu and Xiaosong Jia and Yichen Xie and Siyu Sun and Wenlong Liao and Xiaokang Yang and Junchi Yan,2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,https://openaccess.thecvf.com/content/CVPR2026/html/Lu_ActiveAD_Planning-Oriented_Active_Learning_for_End-to-End_Autonomous_Driving_CVPR_2026_paper.html
Nachkov2026DifferentiablePlanning,inproceedings,Autonomous Vehicle Path Planning by Searching with Differentiable Simulation,Asen Nachkov and Jan-Nico Zaech and Danda Pani Paudel and Xi Wang and Luc Van Gool,2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i22.38917,https://doi.org/10.1609/aaai.v40i22.38917
Wiederer2023JOODU,inproceedings,Joint Out-of-Distribution Detection and Uncertainty Estimation for Trajectory Prediction,Julian Wiederer and Julian Schmidt and Ulrich Kressel and Klaus Dietmayer and Vasileios Belagiannis,2023,Proceedings of the IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros55552.2023.10341616,https://doi.org/10.1109/IROS55552.2023.10341616
Yang2023PredictionFailureRisk,article,Prediction Failure Risk-Aware Decision-Making for Autonomous Vehicles on Signalized Intersections,Kai Yang and Boqi Li and Wenbo Shao and Xiaolin Tang and Xiaochuan Liu and Hong Wang,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2023.3288507,https://doi.org/10.1109/TITS.2023.3288507
Lindemann2023SafePlanningCP,article,Safe Planning in Dynamic Environments Using Conformal Prediction,Lars Lindemann and Matthew Cleaveland and Gihyun Shim and George J. Pappas,2023,IEEE Robotics and Automation Letters,10.1109/lra.2023.3292071,https://doi.org/10.1109/LRA.2023.3292071
Wang2025Argus,inproceedings,Argus: Resilience-Oriented Safety Assurance Framework for End-to-End ADSs,Dingji Wang and You Lu and Bihuan Chen and Shuo Hao and Haowen Jiang and Yifan Tian and Xin Peng,2025,Proceedings of the 40th IEEE/ACM International Conference on Automated Software Engineering,10.1109/ase63991.2025.00010,https://doi.org/10.1109/ASE63991.2025.00010
Cui2026CTRAIL,article,C-TRAIL: A Commonsense World Framework for Trajectory Planning in Autonomous Driving,Zhihong Cui and Haoran Tang and Tianyi Li and Yushuai Li and Peiyuan Guan and Amir Taherkordi and Tor Skeie,2026,IEEE Transactions on Vehicular Technology,10.1109/tvt.2026.3682668,https://doi.org/10.1109/TVT.2026.3682668
Huang2026BayesianGamePlanning,article,Integrated Decision Making and Trajectory Planning for Autonomous Driving Under Multimodal Uncertainties: A Bayesian Game Approach,Zhenmin Huang and Tong Li and Shaojie Shen and Jun Ma,2026,IEEE Transactions on Vehicular Technology,10.1109/tvt.2026.3686368,https://doi.org/10.1109/TVT.2026.3686368
Li2026PredictionPlanningSurvey,article,Ranging from Prediction to Planning via Machine Learning Approaches for Autonomous Driving: A Survey,Ding Li and Qichao Zhang and Dongbin Zhao,2026,Artificial Intelligence Review,10.1007/s10462-026-11604-8,https://doi.org/10.1007/s10462-026-11604-8
