Survey,Motion,Planning,Shift,Calibration,Guarantee / assurance,Risk propagation,Intervention,Closed loop,Traffic impact
Li et al. 2026,3,3,2,0,1,2,1,2,1
Lu et al. 2025,2,2,1,1,1,3,1,2,1
Abdel Madjid et al. 2026,3,2,2,1,1,2,0,1,1
Wang et al. 2025,0,0,3,2,1,1,1,0,0
Hsu et al. 2024,0,2,1,0,3,1,3,3,1
Araujo et al. 2024,0,0,3,3,0,0,0,0,0
Huang et al. 2022,3,1,1,0,0,1,0,0,0
Mozaffari et al. 2022,3,1,1,0,0,1,0,0,0
Teng et al. 2023,1,3,1,0,1,1,1,2,1
Ghraizi et al. 2023,1,3,1,0,1,2,1,1,1
Zhou et al. 2022,0,3,0,0,0,1,1,2,3
Xu et al. 2026,0,1,3,0,2,2,3,3,2
Schwarting et al. 2018,1,3,1,0,2,2,2,1,3
Dong et al. 2025,0,1,1,0,3,1,3,3,1
Gyllenhammar et al. 2025,1,1,2,1,3,2,3,2,1
Liang et al. 2026,0,1,3,1,0,1,1,1,1
